	orderid	latitude	longitude	estimateddeliverytime	totalprice	zip	city	time
2091	1554356	32.7544039	-117.139675	50.0	69.85	92104	San Diego	4.510123055555556
2092	1554518	37.479409	-122.2806694	34.0	101.07	94064	San Carlos	4.536218611111111
2093	1554596	37.774336100000006	-122.23554409999998	93.0	45.41		Oakland	4.666296388888889
2094	1554581	37.3489068	-121.9729344	161.0	31.8	95051	Santa Clara	4.737245277777778
2095	1554800	37.2856362	-121.9952893	118.0	91.68	95070	Saratoga	4.7822825
2096	1554866	37.4460706	-122.1514527	83.0	46.72	94301-2019	Palo Alto	4.867526944444445
2097	1554937	37.683158	-122.0665765	73.0	71.91	94546	Hayward	4.883451944444444
2098	1554931	37.3848946	-121.88723529999999	103.0	78.09		San José	4.911197222222222
2099	1554923	37.730435	-122.416931	278.0	79.77	94134	San Francisco	5.020818611111111
2100	1554992	37.8665414	-122.2997174	96.0	70.24	94710	Berkeley	5.0106575
